,,,,,0
50,100,10,sqrt,1000,0.662860333526452
400,10,10,,,0.662406318937833
100,2,100,sqrt,,0.661803161131814
400,2,10,sqrt,,0.661140879517956
100,2,100,,100,0.661083386557965
100,100,100,,1000,0.660811968622507
400,100,10,,100,0.660608568798743
100,2,1,sqrt,100,0.660360239393053
50,2,10,,100,0.660151428751864
100,100,100,,,0.660034157472719
400,10,1,,100,0.660004867376774
100,10,100,sqrt,,0.659496188803279
100,100,10,sqrt,100,0.65937957203545
100,10,10,,100,0.659322079075459
100,10,10,sqrt,,0.65929765618099
50,10,10,sqrt,1000,0.659166734291881
100,100,10,,,0.659047288548938
100,2,100,sqrt,1000,0.658900183557899
400,100,10,sqrt,1000,0.65889194376536
100,2,100,,1000,0.658881962229607
400,2,1,,100,0.658685714966482
400,2,10,,,0.658659253845652
400,100,10,,,0.658367329222737
100,2,10,,,0.658288242343391
100,100,100,sqrt,100,0.658277717191688
50,2,1,sqrt,100,0.658198086696393
100,100,10,,1000,0.658132353943864
400,10,10,,100,0.658074317367924
400,2,10,,100,0.658042741912815
50,100,100,,100,0.65801399543282
100,100,100,sqrt,,0.658003470281117
400,10,10,sqrt,1000,0.657915599993283
100,100,1,,100,0.657850410856703
400,100,1,sqrt,100,0.657821664376708
50,10,100,,1000,0.657647554648888
100,2,10,,100,0.657536348698484
400,100,10,sqrt,100,0.65744186946596
50,10,10,sqrt,,0.65725103302026
50,100,100,,,0.657112414954562
100,2,10,sqrt,100,0.657080839499453
50,10,100,sqrt,1000,0.65707031434775
100,100,10,,100,0.656895661003981
50,2,1,,1000,0.656869607261664
400,100,100,sqrt,100,0.656861256573758
100,100,1,sqrt,,0.656809421563995
100,100,1,sqrt,100,0.656758537548695
100,10,1,sqrt,,0.656582549840225
400,10,100,sqrt,,0.656568788334895
50,10,1,sqrt,100,0.656542327214064
50,10,100,sqrt,100,0.656514124350018
400,10,100,sqrt,100,0.656358235950491
100,2,1,,100,0.656278605455195
50,100,10,sqrt,,0.656242162798611
400,10,100,,,0.656165904894379
400,100,100,sqrt,,0.65614148199991
400,10,100,,100,0.656126089646731
100,10,1,sqrt,100,0.656096799550787
100,100,10,sqrt,,0.656027694207194
100,10,100,,,0.655862367887863
400,10,1,sqrt,100,0.655841317584457
50,100,10,,100,0.655833077791918
50,100,10,,1000,0.655746838351932
100,10,100,,100,0.655744009376818
400,2,10,sqrt,100,0.655685429184929
400,100,100,,1000,0.655646157553231
400,2,100,sqrt,100,0.655635088785579
50,2,10,sqrt,1000,0.655587577361342
50,2,100,,1000,0.655543982144117
100,10,100,,1000,0.65536421446607
50,2,100,sqrt,100,0.655327228193536
400,10,10,sqrt,100,0.655211155041657
100,100,100,sqrt,1000,0.65514691689954
400,10,100,,1000,0.655118714035494
400,100,100,sqrt,1000,0.655060677459554
50,2,100,,,0.655052981282965
400,100,1,sqrt,,0.65503138736361
50,2,10,,1000,0.654891138450063
50,100,100,sqrt,100,0.654876042580032
50,2,10,sqrt,100,0.654843923508973
50,10,100,sqrt,,0.654789259524096
400,100,100,,100,0.654752273251563
400,2,100,sqrt,,0.654673186372217
400,2,100,,1000,0.654594099492871
400,100,10,sqrt,,0.654535519300982
100,10,100,sqrt,100,0.654524994149279
50,10,100,,100,0.654190672436406
50,2,10,sqrt,,0.654116452758535
100,2,100,sqrt,100,0.654045062055778
50,10,10,sqrt,100,0.653924665318373
400,100,1,sqrt,1000,0.65385555997478
400,2,100,,100,0.653787541863087
400,100,10,,1000,0.653684279222075
100,10,10,sqrt,100,0.653660399943555
50,100,100,,1000,0.653647589432687
400,100,100,,,0.653497358983388
50,10,100,,,0.653486833831685
400,2,10,,1000,0.653337554376848
50,10,1,,100,0.653307066153637
100,100,1,sqrt,1000,0.653307066153637
400,100,1,,100,0.65328343400792
100,10,10,,1000,0.653236466199633
100,10,1,,100,0.653191536617707
100,10,100,sqrt,1000,0.653162246521762
400,2,100,sqrt,1000,0.653151721370059
50,100,10,,,0.653146310552635
400,10,10,,1000,0.653125260249229
50,2,100,,100,0.653107582536886
400,10,1,sqrt,1000,0.653079243435404
100,10,10,sqrt,1000,0.653017426889888
50,2,100,sqrt,1000,0.652990965769057
400,2,1,sqrt,100,0.652987593177994
400,2,100,,,0.652843317162068
50,100,100,sqrt,1000,0.652685143403376
100,2,1,sqrt,1000,0.652529255003849
50,100,1,sqrt,100,0.652416010827083
100,2,10,sqrt,1000,0.652402656700266
400,10,1,sqrt,,0.652264989629031
50,100,1,sqrt,,0.652130695148859
50,100,1,,100,0.652123542588219
400,10,100,sqrt,1000,0.652070373213755
400,2,10,sqrt,1000,0.652052151885462
50,2,1,,100,0.651862106188515
50,2,100,sqrt,,0.651376516144787
100,2,100,,,0.651129521103799
400,10,10,sqrt,,0.651083504289974
100,10,10,,,0.650975127314684
100,100,100,,100,0.650797237617288
400,10,1,,,0.650763487698381
100,2,10,sqrt,,0.650533515858419
50,100,10,sqrt,100,0.650450512772061
400,2,1,sqrt,1000,0.650229978851903
50,10,10,,,0.65000215613367
50,100,1,sqrt,1000,0.649932099795614
50,100,100,sqrt,,0.649897695365392
400,2,1,sqrt,,0.64988608298179
100,100,10,sqrt,1000,0.649821981077109
50,2,10,,,0.649567697238045
400,100,1,,1000,0.649522471172972
400,100,1,,,0.64896628117524
50,2,1,sqrt,1000,0.648781399162915
400,2,1,,1000,0.648485261849841
100,100,1,,1000,0.648469869496663
50,10,10,,100,0.648216018378181
100,10,1,sqrt,1000,0.648128148090347
100,100,1,,,0.648105466939093
50,100,1,,,0.647432252795018
400,10,1,,1000,0.646439182305061
100,2,10,,1000,0.646403826880375
50,100,1,,1000,0.645632624675277
50,10,1,sqrt,,0.644773441286978
100,2,1,,1000,0.644393102760281
100,2,1,sqrt,,0.642381427645723
400,2,1,,,0.642099891937076
50,10,1,sqrt,1000,0.639655685257888
100,10,1,,,0.639080433832767
100,10,1,,1000,0.638464576411247
50,2,1,sqrt,,0.637524020784438
50,10,1,,,0.637023149282899
50,10,10,,1000,0.636699785442311
100,2,1,,,0.63623872918842
50,10,1,,1000,0.635021752187242
50,2,1,,,0.627938337857419
